accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
6556,15292,-3580,1322,4623,669,fall,0.107366718,0.668312617,0.093525927
6812,14988,-3344,1506,4167,1664,fall,0.119768147,0.629490891,0.196924036
7000,15748,-3668,1549,2845,1770,fall,0.122666307,0.516941938,0.207939312
6052,14984,-3688,1566,1373,1290,fall,0.123812091,0.39162268,0.158058817
6612,15068,-4012,1413,1473,2144,fall,0.113500034,0.400136217,0.246804531
7528,15744,-4236,1641,-367,1648,fall,0.128867022,0.243487145,0.195261353
7420,14992,-4160,275,-852,1455,fall,0.036799892,0.202196492,0.175205237
7644,13988,-4688,1196,-3298,44,fall,0.098874436,-0.006044611,0.028577367
7428,13752,-5928,924,-1641,-301,fall,0.080541889,0.135024689,-0.007274239
8492,14460,-6124,1073,-145,534,fall,0.09058435,0.262387196,0.079497038
9124,14200,-6644,2079,573,1090,fall,0.158387814,0.323514388,0.137275278
8860,13492,-6892,3143,-697,329,fall,0.230100425,0.215392474,0.05819391
8252,13316,-7224,2021,-859,101,fall,0.154478668,0.201600545,0.034500675
7940,12920,-7132,1651,-902,73,fall,0.129541012,0.197939724,0.03159098
7988,13000,-7436,667,-990,-33,fall,0.063220328,0.190447812,0.020575704
7992,12376,-7712,-10,-937,43,fall,0.017591157,0.194959986,0.028473449
8420,12888,-7864,-347,-737,628,fall,-0.005122329,0.211987059,0.089265302
8452,12920,-8032,-297,-728,864,fall,-0.001752376,0.212753278,0.113789878
8784,12924,-7848,-458,-859,1294,fall,-0.012603626,0.201600545,0.158474488
8604,12952,-7988,-637,-925,1580,fall,-0.02466806,0.195981611,0.18819495
8644,13144,-8036,-738,-1111,1552,fall,-0.031475366,0.180146433,0.185285254
8384,13104,-7768,-913,-1082,1294,fall,-0.043270203,0.182615358,0.158474488
8320,13380,-7604,-1044,-623,1208,fall,-0.052099481,0.221692491,0.149537566
8096,13276,-7568,-929,-164,850,fall,-0.044348588,0.260769624,0.112335031
8292,13308,-7560,-686,363,529,fall,-0.027970614,0.305635961,0.07897745
8164,13212,-7688,-635,623,180,fall,-0.024533261,0.327771156,0.042710174
8492,13312,-7536,-783,1044,-136,fall,-0.034508324,0.363613145,0.009872181
8556,13016,-7580,-677,1219,-286,fall,-0.027364022,0.378511834,-0.005715473
8800,13336,-7632,-590,1266,-199,fall,-0.021500303,0.382513196,0.003325366
9024,12832,-7548,-555,930,-488,fall,-0.019141336,0.353907713,-0.026706848
8936,12620,-7544,-1287,967,-727,fall,-0.068477455,0.357057722,-0.051543178
8660,13112,-7468,-1528,1017,-884,fall,-0.084720631,0.36131449,-0.067858256
8752,13084,-7460,-1696,1533,-1213,fall,-0.096043675,0.405244338,-0.102047179
8300,12648,-7172,-1924,2340,-992,fall,-0.111410663,0.473948578,-0.079081368
9668,15300,-8168,-1622,4111,617,fall,-0.091056143,0.62472331,0.088122207
8740,15644,-9252,-64,2477,-1470,fall,0.013951607,0.485612123,-0.128754027
8576,13920,-7284,4231,-1839,-2974,fall,0.303430613,0.118167887,-0.285046243
8004,13096,-8240,4456,-1685,-4671,fall,0.318595403,0.131278733,-0.461394575
7092,13576,-7272,3628,-555,-6295,fall,0.262788974,0.227481696,-0.630156916
6640,13312,-7444,4105,3074,-8214,fall,0.29493833,0.536437936,-0.829574977
5572,11848,-7392,338,4073,-9854,fall,0.041046034,0.621488166,-1
4200,12468,-6500,-7305,5752,-5121,fall,-0.474085058,0.764430444,-0.508157539
1964,15904,-7888,-6523,8519,-6387,fall,-0.421378985,1,-0.639717344
4488,16568,-6760,-1113,7081,-840,fall,-0.056750017,0.877575345,-0.063285878
4828,16940,-5440,2107,2589,-5292,fall,0.160274988,0.495147284,-0.525927465
8156,15180,-7064,5075,2667,-951,fall,0.360315428,0.501787843,-0.074820742
4296,13132,-5720,2061,3619,-3382,fall,0.157174631,0.58283671,-0.327444664
2964,15112,-8044,2317,2866,-1780,fall,0.174428793,0.51872978,-0.160968513
6728,15320,-11008,14566,-9971,-8574,fall,1,-0.574152903,-0.866985348
1496,12460,-9656,4276,4197,124,fall,0.306463571,0.632044951,0.036890783
2952,19280,-10664,1503,2041,-1864,fall,0.11956595,0.448493104,-0.1696976
1928,11472,-10072,106,-777,460,fall,0.025409449,0.208581645,0.071807129
