accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-14084,2096,524,-4866,3759,-2676,walking,-0.148485542,0.18681,0.057919809
-13420,3100,-812,-2545,-1233,4762,walking,-0.077653162,-0.019987986,0.319411486
-16968,3120,772,9331,-1305,-1565,walking,0.284779126,-0.02297065,0.096978326
-14792,3560,-176,-4265,3459,36,walking,-0.130144198,0.174382237,0.153263373
-14204,3060,-932,-1271,-230,1463,walking,-0.038773175,0.02156217,0.203431243
-15192,2604,-316,-274,-3821,-522,walking,-0.008346685,-0.127198161,0.133646223
-15908,2996,-212,-4445,-1258,-1487,walking,-0.135637446,-0.021023633,0.099720508
-14960,2320,-1092,-8604,-1257,4029,walking,-0.26256199,-0.020982208,0.293642005
-15132,2256,24,-252,-1243,1790,walking,-0.007675288,-0.020402245,0.214927315
-14732,3124,-652,1112,85,-222,walking,0.033951324,0.034611322,0.144193078
-14680,3636,-528,5162,-1522,-876,walking,0.157549401,-0.031960065,0.121200935
-15224,4856,-1072,-7657,1040,1652,walking,-0.233661402,0.074173036,0.210075762
-14784,3252,264,-748,555,-570,walking,-0.022812238,0.054081485,0.131958727
-14872,3712,-500,-361,213,537,walking,-0.011001755,0.039913834,0.170876619
-15008,3624,-1228,-833,-634,-796,walking,-0.025406271,0.004826115,0.12401343
-15008,3872,-464,-5783,519,986,walking,-0.176470588,0.052590153,0.186661745
-15092,3516,-392,-5902,-297,177,walking,-0.180102235,0.018786636,0.158220394
-15092,3516,36,-3746,272,514,walking,-0.114305333,0.042357961,0.170068027
-14704,3308,508,-6351,103,1296,walking,-0.193804837,0.035356988,0.197560161
-14596,3592,1056,-2575,650,689,walking,-0.078568704,0.058016943,0.176220359
-15008,3680,212,-4180,-805,-49,walking,-0.127550164,-0.00225771,0.150275097
-14680,3468,2064,452,438,-134,walking,0.013809415,0.049234657,0.147286822
-14776,4024,-164,1374,-377,-161,walking,0.041947051,0.015472566,0.146337605
-14792,3924,560,-2412,-321,674,walking,-0.073594263,0.017792415,0.175693016
-14732,3824,524,2871,-128,-706,walking,0.087632563,0.02578761,0.127177486
-14856,3684,20,-1580,112,395,walking,-0.04820325,0.03572982,0.165884442
-14868,3824,856,1241,-240,-82,walking,0.037888151,0.021147911,0.149114943
-15084,3952,424,415,-14,173,walking,0.012680247,0.03051016,0.158079769
-14892,3520,-52,595,-697,-323,walking,0.018173495,0.002216285,0.140642303
-14940,3776,-64,667,-830,-81,walking,0.020370794,-0.003293357,0.149150099
-16232,3460,524,1453,-1616,-907,walking,0.044357977,-0.035854098,0.120111094
-15168,3448,648,229,-633,-1728,walking,0.007003891,0.004867541,0.091247869
-15968,3160,640,5748,-937,-2250,walking,0.175432975,-0.007725926,0.072896342
-14320,2712,-164,1438,-1299,-1089,walking,0.043900206,-0.022722094,0.113712669
-16188,3696,608,11207,-8525,-3965,walking,0.342030976,-0.322065494,0.012603491
-13480,1336,696,-5213,-3625,-2505,walking,-0.159075303,-0.119078688,0.063931516
-18952,2504,1272,10864,-10100,-4563,walking,0.331563287,-0.387311253,-0.008419905
-16384,5512,4332,-14883,7491,-2531,walking,-0.454184787,0.34141138,0.063017455
-13504,2112,1560,2820,9826,-1306,walking,0.086076143,0.438140807,0.106083777
-15276,1076,-112,7652,3450,-1764,walking,0.23353933,0.174009404,0.089982246
-17696,2244,1056,2922,-8188,-638,walking,0.089188983,-0.308104973,0.129568106
-13288,436,2104,659,-2764,-5539,walking,0.02012665,-0.083411007,-0.042732338
-14412,1100,-1800,-10515,290,131,walking,-0.320881971,0.043103627,0.15660321
-14808,1812,-1128,-12276,5171,-1872,walking,-0.374624247,0.245303341,0.086185379
-14556,2180,492,-14942,11679,3299,walking,-0.455985351,0.51490296,0.267977992
-16556,2472,868,-12101,10166,9532,walking,-0.369283589,0.452225605,0.48710647
-14816,1184,1356,-10321,3250,11069,walking,-0.314961471,0.165724228,0.541141521
-13216,912,320,-15954,-10579,8299,walking,-0.486869612,-0.407154249,0.443758899
-16172,980,1252,-12613,-15736,4002,walking,-0.384908827,-0.620787506,0.292692788
-15924,1224,-1584,-12276,-6012,-214,walking,-0.374624247,-0.217962261,0.144474327
-14396,1200,-1596,-5705,-6987,-6574,walking,-0.174090181,-0.258352493,-0.079118986
-15364,2016,-1196,-4160,11938,-10474,walking,-0.126939803,0.525632262,-0.216228093
-18332,3744,-800,-2770,17477,-9404,walking,-0.084519722,0.755090205,-0.178610979
-18112,4180,2584,4810,19579,-5706,walking,0.14680705,0.842167402,-0.048603421
-15108,2644,1272,3860,18194,1935,walking,0.117814908,0.78479256,0.220024961
-13332,2960,2008,971,3172,4615,walking,0.02964828,0.162493009,0.314243527
-14232,2724,1880,11839,-9186,11524,walking,0.361318379,-0.349448,0.557137584
-12444,628,1772,-1215,-18147,10778,walking,-0.037064164,-0.7206653,0.530911072
-21976,3156,156,7349,-24890,8750,walking,0.224292363,-1,0.459614337
-16648,732,-1156,-3448,-11929,5965,walking,-0.105210956,-0.463079186,0.361704372
-16048,1824,-1408,10726,-11198,787,walking,0.327351797,-0.432796868,0.179665665
-20620,1848,-696,17591,-1189,-4790,walking,0.536858167,-0.018165248,-0.016400359
-14104,808,-460,4153,10471,-9839,walking,0.126756695,0.464860498,-0.193903918
-16388,2628,732,8344,7546,-14994,walking,0.254657816,0.343689803,-0.375134033
-16864,2704,1976,400,9275,-15768,walking,0.012222477,0.415315147,-0.402344917
-16524,4404,1808,-2216,7851,-12774,walking,-0.067612726,0.356324696,-0.29708731
-13400,2904,1408,25803,-1497,-5487,walking,0.787472343,-0.030924418,-0.040904217
